GW1NZ-1,LV,ALL,1.2/1.1,1.07,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1NZ-1,ZV,ALL,0.9/1.0,0.88,1.0,3.3/1.8/2.5,1.71,3.6,,,,,
GW1NZ-1C,LV,ALL,1.2/1.1,1.07,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1NZ-2B,ZV,ALL,0.9/1.0,0.88,1.05,2.5/1.8,1.71,2.75,,,,,
GW1NZ-2C,LV,ALL,1.2/1.1,1.07,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1NZ-2C,ZV,ALL,0.9/1.0,0.88,1.05,2.5/1.8,1.71,2.75,,,,,
GW2A-18,LV,ALL,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2A-18C,LV,ALL,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2A-55,LV,ALL,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2A-55C,LV,ALL,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AN-55C,LV,ALL,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2ANR-18C,LV,ALL,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AR-18,LV,QFN88,1.0,0.95,1.05,3.3,3.135,3.6,,,,,
GW2AR-18,LV,eLQFP144,1.0,0.95,1.05,3.3,3.135,3.6,,,,,
GW2AR-18,LV,QFN88P,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AR-18,LV,eLQFP144P,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AR-18,LV,eLQFP176,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AR-18C,LV,QFN88,1.0,0.95,1.05,3.3,3.135,3.6,,,,,
GW2AR-18C,LV,eLQFP144,1.0,0.95,1.05,3.3,3.135,3.6,,,,,
GW2AR-18C,LV,eLQFP176,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AR-18C,LV,QFN88P,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AR-18C,LV,eLQFP144P,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AR-18C,LV,QFN88PF,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AR-18C,LV,eLQFP144PF,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AN-18X,LV,ALL,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AN-18X,UV,ALL,3.3,2.7,3.6,3.3,2.7,3.6,,,,VCC/VCCX Short Circuit,
GW2AN-18X,EV,ALL,1.2,1.14,1.26,3.3,2.7,3.6,,,,,
GW2AN-9X,LV,ALL,1.0,0.95,1.05,3.3,2.7,3.6,,,,,
GW2AN-9X,UV,ALL,3.3,2.7,3.6,3.3,2.7,3.6,,,,VCC/VCCX Short Circuit,
GW2AN-9X,EV,ALL,1.2,1.14,1.26,3.3,2.7,3.6,,,,,
GW1AN-9A,LV,ALL,1,0.95,1.05,3.3,2.7,3.6,,,,,
GW5AR-25A,LV,ALL,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,VCCX/VCC_LDO Short Circuit of UBGA256P,
GW5AR-25B,LV,ALL,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,VCCX/VCC_LDO Short Circuit of UBGA256P,
GW5A-25A,LV,MBGA196S,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,,,,,
GW5A-25A,LV,GW251C,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
